split,date,rows,positives,positive_rate,target
train,20220418,19734,6313,0.3199047329482112,long_view
train,20220419,14790,4601,0.31108857336037865,long_view
train,20220420,11963,3493,0.2919836161497952,long_view
train,20220421,5351,1479,0.27639693515230795,long_view
validation,20220410,74,32,0.43243243243243246,long_view
validation,20220411,191,77,0.4031413612565445,long_view
validation,20220412,507,203,0.40039447731755423,long_view
validation,20220413,691,267,0.38639652677279307,long_view
validation,20220414,1044,380,0.36398467432950193,long_view
validation,20220415,1297,489,0.37702390131071706,long_view
validation,20220416,2145,866,0.4037296037296037,long_view
validation,20220417,3578,1423,0.39770821688093905,long_view
validation,20220418,2597,949,0.3654216403542549,long_view
validation,20220419,2929,1021,0.34858313417548653,long_view
validation,20220420,4170,1363,0.3268585131894484,long_view
validation,20220421,4728,1491,0.3153553299492386,long_view
test,20220410,54,0,0.0,is_like
test,20220411,64,0,0.0,is_like
test,20220412,188,4,0.02127659574468085,is_like
test,20220413,296,5,0.016891891891891893,is_like
test,20220414,471,11,0.02335456475583864,is_like
test,20220415,624,5,0.008012820512820512,is_like
test,20220416,1154,35,0.030329289428076257,is_like
test,20220417,2648,75,0.028323262839879154,is_like
test,20220418,1954,34,0.017400204708290685,is_like
test,20220419,2485,50,0.02012072434607646,is_like
test,20220420,4415,76,0.01721404303510759,is_like
test,20220421,9598,174,0.01812877682850594,is_like
train,20220409,52544,913,0.01737591352009744,is_like
train,20220410,226739,4279,0.018871918814143133,is_like
train,20220411,277290,4867,0.017552021349489706,is_like
train,20220412,164557,2914,0.01770814975965775,is_like
train,20220413,93192,1687,0.018102412224225255,is_like
train,20220414,69283,1221,0.017623370812464817,is_like
train,20220415,56561,1311,0.023178515231343153,is_like
train,20220416,57166,1383,0.024192701955707937,is_like
train,20220417,37348,790,0.02115240441255221,is_like
train,20220418,19734,329,0.016671734063038412,is_like
train,20220419,14790,267,0.018052738336713996,is_like
train,20220420,11963,198,0.016551032349745046,is_like
train,20220421,5351,73,0.013642309848626424,is_like
validation,20220410,74,3,0.04054054054054054,is_like
validation,20220411,191,4,0.020942408376963352,is_like
validation,20220412,507,4,0.007889546351084813,is_like
validation,20220413,691,10,0.01447178002894356,is_like
validation,20220414,1044,20,0.019157088122605363,is_like
validation,20220415,1297,23,0.017733230531996914,is_like
validation,20220416,2145,53,0.02470862470862471,is_like
validation,20220417,3578,82,0.022917831190609278,is_like
validation,20220418,2597,43,0.016557566422795534,is_like
validation,20220419,2929,59,0.0201433936497098,is_like
validation,20220420,4170,80,0.019184652278177457,is_like
validation,20220421,4728,88,0.018612521150592216,is_like
test,20220410,54,0,0.0,is_follow
test,20220411,64,2,0.03125,is_follow
test,20220412,188,0,0.0,is_follow
test,20220413,296,1,0.0033783783783783786,is_follow
test,20220414,471,1,0.0021231422505307855,is_follow
test,20220415,624,1,0.0016025641025641025,is_follow
test,20220416,1154,0,0.0,is_follow
test,20220417,2648,7,0.0026435045317220545,is_follow
test,20220418,1954,4,0.0020470829068577278,is_follow
test,20220419,2485,4,0.0016096579476861167,is_follow
test,20220420,4415,9,0.0020385050962627408,is_follow
test,20220421,9598,16,0.0016670139612419254,is_follow
train,20220409,52544,36,0.0006851400730816078,is_follow
train,20220410,226739,176,0.0007762228818156559,is_follow
train,20220411,277290,258,0.0009304338418262469,is_follow
train,20220412,164557,146,0.0008872305644852544,is_follow
train,20220413,93192,95,0.0010194008069362177,is_follow
train,20220414,69283,88,0.0012701528513488157,is_follow
train,20220415,56561,71,0.0012552819080285003,is_follow
train,20220416,57166,66,0.0011545324143721794,is_follow
train,20220417,37348,44,0.0011781086001927813,is_follow
train,20220418,19734,25,0.0012668490929360495,is_follow
train,20220419,14790,21,0.0014198782961460446,is_follow
train,20220420,11963,11,0.0009195017972080582,is_follow
train,20220421,5351,9,0.0016819286114744907,is_follow
validation,20220410,74,0,0.0,is_follow
validation,20220411,191,0,0.0,is_follow
validation,20220412,507,0,0.0,is_follow
validation,20220413,691,0,0.0,is_follow
validation,20220414,1044,2,0.0019157088122605363,is_follow
validation,20220415,1297,0,0.0,is_follow
validation,20220416,2145,2,0.0009324009324009324,is_follow
validation,20220417,3578,8,0.0022358859698155395,is_follow
validation,20220418,2597,4,0.0015402387370042356,is_follow
validation,20220419,2929,2,0.0006828269033799932,is_follow
validation,20220420,4170,7,0.0016786570743405275,is_follow
validation,20220421,4728,3,0.0006345177664974619,is_follow
test,20220410,54,1,0.018518518518518517,is_comment
test,20220411,64,0,0.0,is_comment
test,20220412,188,0,0.0,is_comment
test,20220413,296,0,0.0,is_comment
test,20220414,471,0,0.0,is_comment
test,20220415,624,1,0.0016025641025641025,is_comment
test,20220416,1154,4,0.0034662045060658577,is_comment
test,20220417,2648,10,0.0037764350453172208,is_comment
test,20220418,1954,3,0.0015353121801432957,is_comment
test,20220419,2485,4,0.0016096579476861167,is_comment
test,20220420,4415,7,0.0015855039637599094,is_comment
test,20220421,9598,20,0.002083767451552407,is_comment
train,20220409,52544,115,0.0021886419001218025,is_comment
train,20220410,226739,574,0.0025315450804669687,is_comment
train,20220411,277290,746,0.002690324209311551,is_comment
train,20220412,164557,467,0.0028379224220179025,is_comment
train,20220413,93192,235,0.002521675680315907,is_comment
train,20220414,69283,158,0.002280501710376283,is_comment
train,20220415,56561,158,0.0027934442460352538,is_comment
train,20220416,57166,162,0.002833852289822622,is_comment
train,20220417,37348,82,0.0021955660276320016,is_comment
train,20220418,19734,41,0.002077632512415121,is_comment
train,20220419,14790,34,0.0022988505747126436,is_comment
train,20220420,11963,39,0.0032600518264649337,is_comment
train,20220421,5351,7,0.001308166697813493,is_comment
validation,20220410,74,0,0.0,is_comment
validation,20220411,191,0,0.0,is_comment
validation,20220412,507,0,0.0,is_comment
validation,20220413,691,0,0.0,is_comment
validation,20220414,1044,4,0.0038314176245210726,is_comment
validation,20220415,1297,1,0.0007710100231303007,is_comment
validation,20220416,2145,3,0.0013986013986013986,is_comment
validation,20220417,3578,7,0.001956400223588597,is_comment
validation,20220418,2597,6,0.0023103581055063534,is_comment
validation,20220419,2929,6,0.0020484807101399795,is_comment
validation,20220420,4170,12,0.0028776978417266188,is_comment
validation,20220421,4728,11,0.002326565143824027,is_comment
test,20220410,54,0,0.0,is_forward
test,20220411,64,0,0.0,is_forward
test,20220412,188,0,0.0,is_forward
test,20220413,296,0,0.0,is_forward
test,20220414,471,1,0.0021231422505307855,is_forward
test,20220415,624,0,0.0,is_forward
test,20220416,1154,4,0.0034662045060658577,is_forward
test,20220417,2648,4,0.0015105740181268882,is_forward
test,20220418,1954,2,0.0010235414534288639,is_forward
test,20220419,2485,2,0.0008048289738430583,is_forward
test,20220420,4415,7,0.0015855039637599094,is_forward
test,20220421,9598,9,0.000937695353198583,is_forward
train,20220409,52544,64,0.001218026796589525,is_forward
train,20220410,226739,216,0.0009526371731373959,is_forward
train,20220411,277290,244,0.0008799451837426521,is_forward
train,20220412,164557,157,0.0009540767029053763,is_forward
train,20220413,93192,95,0.0010194008069362177,is_forward
train,20220414,69283,81,0.0011691179654460691,is_forward
train,20220415,56561,65,0.0011492017467866552,is_forward
train,20220416,57166,56,0.0009796032606794248,is_forward
train,20220417,37348,43,0.0011513334047338545,is_forward
train,20220418,19734,16,0.0008107834194790716,is_forward
train,20220419,14790,9,0.0006085192697768763,is_forward
train,20220420,11963,12,0.001003092869681518,is_forward
train,20220421,5351,7,0.001308166697813493,is_forward
validation,20220410,74,0,0.0,is_forward
validation,20220411,191,0,0.0,is_forward
validation,20220412,507,1,0.0019723865877712033,is_forward
validation,20220413,691,2,0.002894356005788712,is_forward
validation,20220414,1044,1,0.0009578544061302681,is_forward
validation,20220415,1297,0,0.0,is_forward
validation,20220416,2145,3,0.0013986013986013986,is_forward
validation,20220417,3578,5,0.001397428731134712,is_forward
validation,20220418,2597,4,0.0015402387370042356,is_forward
validation,20220419,2929,2,0.0006828269033799932,is_forward
validation,20220420,4170,1,0.00023980815347721823,is_forward
validation,20220421,4728,4,0.0008460236886632825,is_forward
test,20220410,54,0,0.0,is_hate
test,20220411,64,0,0.0,is_hate
test,20220412,188,0,0.0,is_hate
test,20220413,296,1,0.0033783783783783786,is_hate
test,20220414,471,0,0.0,is_hate
test,20220415,624,1,0.0016025641025641025,is_hate
test,20220416,1154,1,0.0008665511265164644,is_hate
test,20220417,2648,2,0.0007552870090634441,is_hate
test,20220418,1954,0,0.0,is_hate
test,20220419,2485,0,0.0,is_hate
test,20220420,4415,1,0.00022650056625141563,is_hate
test,20220421,9598,5,0.0005209418628881017,is_hate
train,20220409,52544,21,0.0003996650426309379,is_hate
train,20220410,226739,75,0.00033077679622826243,is_hate
train,20220411,277290,105,0.00037866493562696096,is_hate
train,20220412,164557,68,0.0004132306738698445,is_hate
train,20220413,93192,37,0.00039702978796463215,is_hate
train,20220414,69283,33,0.0004763073192558059,is_hate
train,20220415,56561,20,0.00035360053747281693,is_hate
train,20220416,57166,49,0.0008571528530944968,is_hate
train,20220417,37348,21,0.0005622791046374639,is_hate
train,20220418,19734,10,0.0005067396371744198,is_hate
train,20220419,14790,6,0.00040567951318458417,is_hate
train,20220420,11963,7,0.0005851375073142189,is_hate
train,20220421,5351,6,0.0011212857409829938,is_hate
validation,20220410,74,0,0.0,is_hate
validation,20220411,191,0,0.0,is_hate
validation,20220412,507,0,0.0,is_hate
validation,20220413,691,1,0.001447178002894356,is_hate
validation,20220414,1044,0,0.0,is_hate
validation,20220415,1297,0,0.0,is_hate
validation,20220416,2145,0,0.0,is_hate
validation,20220417,3578,2,0.0005589714924538849,is_hate
validation,20220418,2597,2,0.0007701193685021178,is_hate
validation,20220419,2929,0,0.0,is_hate
validation,20220420,4170,2,0.00047961630695443646,is_hate
validation,20220421,4728,4,0.0008460236886632825,is_hate
test,20220410,54,1,0.018518518518518517,is_profile_enter
test,20220411,64,3,0.046875,is_profile_enter
test,20220412,188,2,0.010638297872340425,is_profile_enter
test,20220413,296,6,0.02027027027027027,is_profile_enter
test,20220414,471,12,0.025477707006369428,is_profile_enter
test,20220415,624,12,0.019230769230769232,is_profile_enter
test,20220416,1154,37,0.032062391681109186,is_profile_enter
test,20220417,2648,63,0.02379154078549849,is_profile_enter
test,20220418,1954,59,0.030194472876151485,is_profile_enter
test,20220419,2485,50,0.02012072434607646,is_profile_enter
test,20220420,4415,95,0.021517553793884484,is_profile_enter
test,20220421,9598,182,0.0189622838091269,is_profile_enter
train,20220409,52544,1701,0.03237286845310597,is_profile_enter
train,20220410,226739,6618,0.029187744499181878,is_profile_enter
train,20220411,277290,7554,0.027242237368819647,is_profile_enter
train,20220412,164557,3907,0.02374253298249239,is_profile_enter
train,20220413,93192,1948,0.02090308180959739,is_profile_enter
train,20220414,69283,1433,0.02068328449980515,is_profile_enter
train,20220415,56561,1449,0.025618358939905588,is_profile_enter
train,20220416,57166,1319,0.02307315537207431,is_profile_enter
train,20220417,37348,809,0.021661133126271822,is_profile_enter
train,20220418,19734,372,0.018850714502888416,is_profile_enter
train,20220419,14790,297,0.020081135902636917,is_profile_enter
train,20220420,11963,224,0.018724400234055003,is_profile_enter
train,20220421,5351,99,0.0185012147262194,is_profile_enter
validation,20220410,74,3,0.04054054054054054,is_profile_enter
validation,20220411,191,10,0.05235602094240838,is_profile_enter
validation,20220412,507,12,0.023668639053254437,is_profile_enter
validation,20220413,691,16,0.023154848046309694,is_profile_enter
validation,20220414,1044,27,0.02586206896551724,is_profile_enter
validation,20220415,1297,40,0.03084040092521203,is_profile_enter
validation,20220416,2145,69,0.032167832167832165,is_profile_enter
validation,20220417,3578,86,0.024035774175517048,is_profile_enter
validation,20220418,2597,63,0.02425876010781671,is_profile_enter
validation,20220419,2929,59,0.0201433936497098,is_profile_enter
validation,20220420,4170,103,0.024700239808153477,is_profile_enter
validation,20220421,4728,79,0.01670896785109983,is_profile_enter
test,20220410,54,1,0.018518518518518517,strong_positive
test,20220411,64,2,0.03125,strong_positive
test,20220412,188,4,0.02127659574468085,strong_positive
test,20220413,296,5,0.016891891891891893,strong_positive
test,20220414,471,13,0.027600849256900213,strong_positive
test,20220415,624,7,0.011217948717948718,strong_positive
test,20220416,1154,41,0.03552859618717504,strong_positive
test,20220417,2648,91,0.034365558912386705,strong_positive
test,20220418,1954,42,0.021494370522006142,strong_positive
test,20220419,2485,58,0.023340040241448694,strong_positive
test,20220420,4415,92,0.020838052095130236,strong_positive
test,20220421,9598,211,0.02198374661387789,strong_positive
train,20220409,52544,1084,0.02063032886723508,strong_positive
train,20220410,226739,5050,0.022272304279369673,strong_positive
train,20220411,277290,5850,0.02109704641350211,strong_positive
train,20220412,164557,3519,0.021384687372764454,strong_positive
train,20220413,93192,2023,0.02170787192033651,strong_positive
train,20220414,69283,1464,0.021130724708803027,strong_positive
train,20220415,56561,1533,0.02710348119729142,strong_positive
train,20220416,57166,1605,0.028076129167687088,strong_positive
train,20220417,37348,918,0.02457962943129485,strong_positive
train,20220418,19734,393,0.019914867740954696,strong_positive
train,20220419,14790,318,0.02150101419878296,strong_positive
train,20220420,11963,247,0.020646994900944578,strong_positive
train,20220421,5351,88,0.01644552420108391,strong_positive
validation,20220410,74,3,0.04054054054054054,strong_positive
validation,20220411,191,4,0.020942408376963352,strong_positive
validation,20220412,507,5,0.009861932938856016,strong_positive
validation,20220413,691,12,0.017366136034732273,strong_positive
validation,20220414,1044,25,0.023946360153256706,strong_positive
validation,20220415,1297,24,0.018504240555127217,strong_positive
validation,20220416,2145,60,0.027972027972027972,strong_positive
validation,20220417,3578,94,0.02627166014533259,strong_positive
validation,20220418,2597,57,0.02194840200231036,strong_positive
validation,20220419,2929,69,0.023557528166609765,strong_positive
validation,20220420,4170,95,0.022781774580335732,strong_positive
validation,20220421,4728,102,0.021573604060913704,strong_positive
test,20220410,54,2,0.037037037037037035,explicit_positive
test,20220411,64,5,0.078125,explicit_positive
test,20220412,188,6,0.031914893617021274,explicit_positive
test,20220413,296,10,0.033783783783783786,explicit_positive
test,20220414,471,24,0.050955414012738856,explicit_positive
test,20220415,624,18,0.028846153846153848,explicit_positive
test,20220416,1154,69,0.05979202772963605,explicit_positive
test,20220417,2648,145,0.0547583081570997,explicit_positive
test,20220418,1954,97,0.0496417604912999,explicit_positive
test,20220419,2485,104,0.041851106639839035,explicit_positive
test,20220420,4415,173,0.039184597961494906,explicit_positive
test,20220421,9598,377,0.039279016461762864,explicit_positive
train,20220409,52544,2633,0.05011038367844092,explicit_positive
train,20220410,226739,11113,0.04901230048646241,explicit_positive
train,20220411,277290,12790,0.0461249954920841,explicit_positive
train,20220412,164557,7101,0.04315222081102597,explicit_positive
train,20220413,93192,3807,0.040851146021117696,explicit_positive
train,20220414,69283,2752,0.03972114371490842,explicit_positive
train,20220415,56561,2855,0.05047647672424462,explicit_positive
train,20220416,57166,2798,0.048945177203232694,explicit_positive
train,20220417,37348,1659,0.044420049266359646,explicit_positive
train,20220418,19734,730,0.03699199351373265,explicit_positive
train,20220419,14790,592,0.04002704530087897,explicit_positive
train,20220420,11963,448,0.037448800468110006,explicit_positive
train,20220421,5351,180,0.033638572229489815,explicit_positive
validation,20220410,74,6,0.08108108108108109,explicit_positive
validation,20220411,191,13,0.06806282722513089,explicit_positive
validation,20220412,507,17,0.03353057199211045,explicit_positive
validation,20220413,691,27,0.03907380607814761,explicit_positive
validation,20220414,1044,50,0.04789272030651341,explicit_positive
validation,20220415,1297,61,0.047031611410948346,explicit_positive
validation,20220416,2145,124,0.05780885780885781,explicit_positive
validation,20220417,3578,177,0.04946897708216881,explicit_positive
validation,20220418,2597,116,0.044666923373122835,explicit_positive
validation,20220419,2929,118,0.0402867872994196,explicit_positive
validation,20220420,4170,186,0.04460431654676259,explicit_positive
validation,20220421,4728,171,0.03616751269035533,explicit_positive
test,20220410,54,19,0.35185185185185186,deep_engagement
test,20220411,64,27,0.421875,deep_engagement
test,20220412,188,66,0.35106382978723405,deep_engagement
test,20220413,296,124,0.4189189189189189,deep_engagement
test,20220414,471,181,0.3842887473460722,deep_engagement
test,20220415,624,240,0.38461538461538464,deep_engagement
test,20220416,1154,481,0.4168110918544194,deep_engagement
test,20220417,2648,1149,0.43391238670694865,deep_engagement
test,20220418,1954,772,0.39508700102354144,deep_engagement
test,20220419,2485,923,0.37142857142857144,deep_engagement
test,20220420,4415,1566,0.35469988674971686,deep_engagement
test,20220421,9598,3300,0.34382162950614714,deep_engagement
train,20220409,52544,18299,0.3482605054811206,deep_engagement
train,20220410,226739,80101,0.3532740287290673,deep_engagement
train,20220411,277290,95571,0.3446608244076598,deep_engagement
train,20220412,164557,56356,0.3424709978913082,deep_engagement
train,20220413,93192,30571,0.32804317967207486,deep_engagement
train,20220414,69283,22843,0.3297056998109204,deep_engagement
train,20220415,56561,21353,0.37752161383285304,deep_engagement
train,20220416,57166,22228,0.38883252282825453,deep_engagement
train,20220417,37348,13789,0.36920317018314236,deep_engagement
train,20220418,19734,6530,0.3309009830748961,deep_engagement
train,20220419,14790,4788,0.3237322515212982,deep_engagement
train,20220420,11963,3632,0.3036027752236061,deep_engagement
train,20220421,5351,1543,0.28835731638945994,deep_engagement
validation,20220410,74,33,0.44594594594594594,deep_engagement
validation,20220411,191,79,0.41361256544502617,deep_engagement
validation,20220412,507,208,0.41025641025641024,deep_engagement
validation,20220413,691,273,0.3950795947901592,deep_engagement
validation,20220414,1044,390,0.3735632183908046,deep_engagement
validation,20220415,1297,504,0.38858905165767155,deep_engagement
validation,20220416,2145,900,0.4195804195804196,deep_engagement
validation,20220417,3578,1474,0.41196198993851313,deep_engagement
validation,20220418,2597,979,0.3769734308817867,deep_engagement
validation,20220419,2929,1060,0.36189825879139637,deep_engagement
validation,20220420,4170,1420,0.3405275779376499,deep_engagement
validation,20220421,4728,1553,0.32846869712351945,deep_engagement
