scope,field,field_origin,target_kind,rows,missing,non_null,unique_count,unique_values,positives,negatives,positive_rate,positive_rate_non_null,negative_positive_ratio,count,mean,median,std,p90,p95,p99,min,max
full_filtered,comment_stay_time,raw,continuous,1134420,0,1134420,21923,,,,,,,1134420,553.6424886726256,0.0,4083.1554575771197,0.0,1790.0,14664.810000000056,0.0,300000.0
train,is_click,raw,binary,1086518,0,1086518,2,"[0, 1]",502248,584270,0.46225465201680965,0.46225465201680965,1.1633097593220878,1086518,,,,,,,,
train,long_view,raw,binary,1086518,0,1086518,2,"[0, 1]",364383,722135,0.3353676607290445,0.3353676607290445,1.981802114807771,1086518,,,,,,,,
train,is_like,raw,binary,1086518,0,1086518,2,"[0, 1]",20232,1066286,0.018620952437051204,0.018620952437051204,52.70294582839067,1086518,,,,,,,,
train,is_follow,raw,binary,1086518,0,1086518,2,"[0, 1]",1046,1085472,0.000962708395074909,0.000962708395074909,1037.736137667304,1086518,,,,,,,,
train,is_comment,raw,binary,1086518,0,1086518,2,"[0, 1]",2818,1083700,0.002593606364551715,0.002593606364551715,384.56352022711144,1086518,,,,,,,,
train,is_forward,raw,binary,1086518,0,1086518,2,"[0, 1]",1065,1085453,0.0009801954500523692,0.0009801954500523692,1019.2046948356807,1086518,,,,,,,,
train,is_hate,raw,binary,1086518,0,1086518,2,"[0, 1]",458,1086060,0.00042153006208824886,0.00042153006208824886,2371.3100436681225,1086518,,,,,,,,
train,is_profile_enter,raw,binary,1086518,0,1086518,2,"[0, 1]",27730,1058788,0.025521896553945725,0.025521896553945725,38.18204111071042,1086518,,,,,,,,
train,strong_positive,derived,binary,1086518,0,1086518,2,"[0, 1]",24092,1062426,0.022173585711419416,0.022173585711419416,44.0987049643035,1086518,,,,,,,,
train,explicit_positive,derived,binary,1086518,0,1086518,2,"[0, 1]",49458,1037060,0.04551972447764326,0.04551972447764326,20.96849852400016,1086518,,,,,,,,
train,deep_engagement,derived,binary,1086518,0,1086518,2,"[0, 1]",377604,708914,0.347535889879413,0.347535889879413,1.8774006631285685,1086518,,,,,,,,
train,play_time_ms,raw,continuous,1086518,0,1086518,139466,,,,,,,1086518,23109.028888614823,4938.0,43306.36576497937,69410.30000000005,106473.0,211966.83000000007,0.0,964774.0
train,duration_ms,raw,continuous,1086518,0,1086518,5462,,,,,,,1086518,97610.76595693767,69750.0,95170.38068548072,234840.0,286166.0,420483.0,0.0,1177720.0
train,play_ratio,derived,continuous,1086518,22741,1063777,860234,,,,,,,1063777,0.36963340467947237,0.1021019148007235,0.5845665271155426,1.037699109415083,1.156062087629884,2.0956567128527146,0.0,58.03293657263982
train,profile_stay_time,raw,continuous,1086518,0,1086518,111,,,,,,,1086518,3.385295963803637,0.0,774.1700837070002,0.0,0.0,0.0,0.0,300000.0
train,comment_stay_time,raw,continuous,1086518,0,1086518,21517,,,,,,,1086518,555.0508183021358,0.0,4064.8401816135342,0.0,1844.1499999999069,14669.0,0.0,300000.0
validation,is_click,raw,binary,23951,0,23951,2,"[0, 1]",11559,12392,0.4826103294225711,0.4826103294225711,1.0720650575309283,23951,,,,,,,,
validation,long_view,raw,binary,23951,0,23951,2,"[0, 1]",8561,15390,0.3574381027932028,0.3574381027932028,1.797687186076393,23951,,,,,,,,
validation,is_like,raw,binary,23951,0,23951,2,"[0, 1]",469,23482,0.01958164586029811,0.01958164586029811,50.0682302771855,23951,,,,,,,,
validation,is_follow,raw,binary,23951,0,23951,2,"[0, 1]",28,23923,0.001169053484196902,0.001169053484196902,854.3928571428571,23951,,,,,,,,
validation,is_comment,raw,binary,23951,0,23951,2,"[0, 1]",50,23901,0.0020875955074944677,0.0020875955074944677,478.02,23951,,,,,,,,
validation,is_forward,raw,binary,23951,0,23951,2,"[0, 1]",23,23928,0.0009602939334474553,0.0009602939334474553,1040.3478260869565,23951,,,,,,,,
validation,is_hate,raw,binary,23951,0,23951,2,"[0, 1]",11,23940,0.00045927101164878293,0.00045927101164878293,2176.3636363636365,23951,,,,,,,,
validation,is_profile_enter,raw,binary,23951,0,23951,2,"[0, 1]",567,23384,0.023673333054987266,0.023673333054987266,41.24162257495591,23951,,,,,,,,
validation,strong_positive,derived,binary,23951,0,23951,2,"[0, 1]",550,23401,0.022963550582439148,0.022963550582439148,42.54727272727273,23951,,,,,,,,
validation,explicit_positive,derived,binary,23951,0,23951,2,"[0, 1]",1066,22885,0.044507536219782054,0.044507536219782054,21.46810506566604,23951,,,,,,,,
validation,deep_engagement,derived,binary,23951,0,23951,2,"[0, 1]",8873,15078,0.3704646987599683,0.3704646987599683,1.6993125211315225,23951,,,,,,,,
validation,play_time_ms,raw,continuous,23951,0,23951,14877,,,,,,,23951,24946.002045843597,5599.0,45338.197064794425,73802.0,113618.5,220943.0,0.0,742179.0
validation,duration_ms,raw,continuous,23951,0,23951,3382,,,,,,,23951,100949.47580476807,71433.0,99490.54917873314,237900.0,294633.0,444500.0,0.0,1177720.0
validation,play_ratio,derived,continuous,23951,499,23452,20808,,,,,,,23452,0.3952861926166985,0.11485299714515554,0.6237794515088241,1.0548015771149866,1.1890958967667786,2.18929274781137,0.0,35.883510152462584
validation,profile_stay_time,raw,continuous,23951,0,23951,5,,,,,,,23951,3.078535342991942,0.0,394.45651346323433,0.0,0.0,0.0,0.0,60560.0
validation,comment_stay_time,raw,continuous,23951,0,23951,1056,,,,,,,23951,539.6692831197028,0.0,4929.440849714149,0.0,0.0,14121.5,0.0,300000.0
test,is_click,raw,binary,23951,0,23951,2,"[0, 1]",11641,12310,0.48603398605486203,0.48603398605486203,1.057469289579933,23951,,,,,,,,
test,long_view,raw,binary,23951,0,23951,2,"[0, 1]",8570,15381,0.3578138699845518,0.3578138699845518,1.7947491248541423,23951,,,,,,,,
test,is_like,raw,binary,23951,0,23951,2,"[0, 1]",469,23482,0.01958164586029811,0.01958164586029811,50.0682302771855,23951,,,,,,,,
test,is_follow,raw,binary,23951,0,23951,2,"[0, 1]",45,23906,0.001878835956745021,0.001878835956745021,531.2444444444444,23951,,,,,,,,
test,is_comment,raw,binary,23951,0,23951,2,"[0, 1]",50,23901,0.0020875955074944677,0.0020875955074944677,478.02,23951,,,,,,,,
test,is_forward,raw,binary,23951,0,23951,2,"[0, 1]",29,23922,0.0012108053943467915,0.0012108053943467915,824.8965517241379,23951,,,,,,,,
test,is_hate,raw,binary,23951,0,23951,2,"[0, 1]",11,23940,0.00045927101164878293,0.00045927101164878293,2176.3636363636365,23951,,,,,,,,
test,is_profile_enter,raw,binary,23951,0,23951,2,"[0, 1]",522,23429,0.021794497098242244,0.021794497098242244,44.883141762452105,23951,,,,,,,,
test,strong_positive,derived,binary,23951,0,23951,2,"[0, 1]",567,23384,0.023673333054987266,0.023673333054987266,41.24162257495591,23951,,,,,,,,
test,explicit_positive,derived,binary,23951,0,23951,2,"[0, 1]",1030,22921,0.04300446745438604,0.04300446745438604,22.253398058252426,23951,,,,,,,,
test,deep_engagement,derived,binary,23951,0,23951,2,"[0, 1]",8848,15103,0.36942090100622105,0.36942090100622105,1.7069394213381555,23951,,,,,,,,
test,play_time_ms,raw,continuous,23951,0,23951,14969,,,,,,,23951,24991.138950356977,5845.0,45537.95076762591,74314.0,113736.0,218307.0,0.0,665406.0
test,duration_ms,raw,continuous,23951,0,23951,3326,,,,,,,23951,101942.30090601645,72966.0,101137.81968570604,243866.0,296920.0,446933.0,0.0,1177720.0
test,play_ratio,derived,continuous,23951,570,23381,20728,,,,,,,23381,0.40235882971227155,0.11585050311451844,0.6095407879379033,1.0554671335349355,1.202972972972973,2.294171471691132,0.0,15.676626461988304
test,profile_stay_time,raw,continuous,23951,0,23951,6,,,,,,,23951,0.6242328086509957,0.0,51.12226373596616,0.0,0.0,0.0,0.0,4968.0
test,comment_stay_time,raw,continuous,23951,0,23951,1043,,,,,,,23951,503.7279445534633,0.0,3976.6377916819715,0.0,0.0,14668.5,0.0,170293.0
